City_Name,"Percentage, People Who Are White Alone","Percentage, Black Or African American Alone","Percentage, People Who Are American Indian And Alaska Native Alone","Percentage, People Who Are Asian Alone","Percentage, People Who Are Native Hawaiian And Other Pacific Islander Alone","Percentage, People Who Are Some Other Race Alone"
Anderson,78.00341203,14.77445747,0.311852219,0.864014088,0,1.764716673
Angola,92.49422633,1.131639723,0,0.762124711,0.207852194,0.265588915
Auburn,98.16942402,0.765931373,0,0.099571078,0,0
Avon,84.99971352,8.033002922,0.509940984,3.225806452,0,0.464103593
Batesville,92.30190949,0.902119982,0,3.232596602,0,0
Bedford,94.48462929,0.595238095,0.874020494,1.002109705,0.203435805,0.075346594
Bloomington,81.89999524,3.943363926,0.287697941,10.17761187,0.009510676,0.399448381
Bluffton,95.6043956,1.764290755,0.030244984,0.403266458,0,0.998084484
Boonville,94.19898284,0.572155118,0.333757152,0,0,3.337571519
Brazil,94.78520286,1.360381862,0,0,0,0.298329356
Bremen,89.74472808,0,0,0,0,5.660377358
Brownsburg,89.00023036,5.616985334,0.038393611,2.829609153,0,1.366812562
Carmel,83.43593532,2.734342937,0.513009932,10.27866699,0.020520397,0.578675203
Clinton,95.38886528,3.591160221,0,0,0,0.828729282
Columbia City,95.96314173,0.833698991,0.680122861,0.230364195,0,0.131636683
Columbus,79.74870197,2.182762201,0.301142264,12.24922118,0.087227414,2.436137072
Connersville,94.64489176,3.911887581,0.432966198,0,0,0.440562096
Corydon,98.22896901,1.707779886,0,0,0,0.063251107
Crawfordsville,92.15040398,1.497824736,0.372902424,1.118707272,0.068365444,0.770665009
Crown Point,87.45393635,5.819095477,0.067001675,2.211055276,0.036850921,1.748743719
Danville,89.77123854,5.915549733,0,4.020961403,0,0
Decatur,95.15360438,1.186251648,0.121666836,0,0,2.990976376
Dyer,84.91192879,4.7953363,0.727135962,3.855074281,0,3.378674857
East Chicago,23.85731002,35.52001702,0.081557392,0.088649339,0.017729868,37.35328534
Elkhart,76.38402511,14.67363224,0.319574411,0.752052357,0.097594581,4.28842069
Elwood,97.79646961,0.367255065,0,0.426489752,0,0.213244876
Evansville,80.62029885,13.11768476,0.133234391,0.984922589,0.277431106,1.514487132
Fishers,83.31045477,6.127396714,0,7.067262985,0.036531905,0.8037019
Fort Wayne,73.35448087,15.0873747,0.209593907,4.686324092,0.050799241,2.092928746
Frankfort,87.07304593,1.298452092,0.370986312,0.172700524,0.17909684,10.07419726
Franklin,95.37959054,1.059507687,0,0.76874054,0,0.987811678
Gary,15.28351533,78.46862255,0.110511775,0.242073411,0.018418629,3.00881463
Goshen,87.30503108,3.529963645,0.043977952,1.773777413,0.105547086,4.051835347
Greencastle,90.56915307,2.224164724,0,6.041181041,0.077700078,0.475912976
Greenfield,97.40974729,0.374548736,0,0.866425993,0,0.081227437
Greensburg,94.88778055,0.855005344,0,3.34877093,0,0
Greenwood,85.840662,4.5235787,0.259677308,6.112803822,0.031161277,1.841977702
Hammond,49.51337087,22.33137811,0.305694541,1.241067579,0.028740512,23.23931702
Hartford City,97.99348311,0,0.342994341,0,0,0
Hobart,82.03501016,6.880815715,0.335127812,2.160504831,0.0677386,4.171271703
Huntington,95.3653249,1.371066971,0.492177887,1.083963204,0.111325951,1.031229859
Indianapolis,61.12001648,28.39125634,0.282835911,3.404557182,0.018420947,3.447691947
Jasper,96.81556833,0.568648512,0,0.726606432,0,1.598534151
Jeffersonville,79.9949657,12.83325992,0.192981352,1.820737105,0.027269104,0.383865081
Kendallville,93.63432117,1.519204023,0.04279448,2.129025356,0,0.171177918
Knox,99.32527411,0.112454315,0,0.112454315,0,0
Kokomo,83.66497549,10.50821223,0.736090807,1.463582423,0.049875312,1.049101384
La Porte,86.9537007,3.43884692,0.264170181,0.259535617,0.05098021,4.99606062
Lafayette,83.76985713,8.605557928,0.203910114,1.408082005,0,3.856381147
LaGrange,96.55790606,0.609537469,0.07171029,0.07171029,0,0.573682323
Lawrenceburg,95.70367396,3.473198153,0.140534029,0,0,0.441678378
Lebanon,96.4097414,0.878734622,0.07532011,0.420537283,0,0.376600552
Linton,96.66285278,0.400457666,0,0,0.324180015,0.476735317
Logansport,73.20494267,1.486140488,0.395190916,1.808972504,0.038962485,19.00812646
Madison,90.40887158,4.131042072,0.067722001,1.430627275,0,2.497248794
Marion,78.67362999,14.74102161,0.085849192,1.294891973,0,1.151809987
Martinsville,94.67984529,2.062741728,0.137516115,0.421143103,0,0.481306403
Merrillville,42.50910029,42.54922755,0.31528562,1.166556794,0.08885322,7.343288716
Michigan City,61.83880712,29.4106305,0.134970114,0.780898515,0,1.629282088
Mishawaka,83.08051579,7.974413646,1.143263275,2.27231191,0.085287846,1.001116865
Monticello,87.09616116,0.437096161,0,0,0,9.369061193
Mooresville,97.23631094,0,0,0.890177,0,0
Muncie,83.09381818,11.06763636,0.098909091,1.682909091,0.085818182,0.548363636
Munster,85.4202477,3.891753713,0.330556657,3.82123496,0,3.5700119
New Albany,85.50495266,9.092149426,0.491172538,0.755859961,0.035473572,0.94960024
New Castle,95.08879505,2.724590733,0.034708162,0.040492856,0.121478568,0.497483658
Newburgh,90.50847458,4.191063174,0,5.30046225,0,0
Noblesville,89.54670134,4.759715242,0.130012208,2.159471072,0,0.39479317
North Vernon,93.82331106,3.979213066,1.098737936,0.282108389,0,0
Paoli,96.97135061,0.627557981,0,2.019099591,0,0
Peru,87.43093923,8.477209945,1.476174033,0.474792818,0,1.070441989
Plymouth,87.91525761,1.670976726,0,0.616669982,0,7.270738015
Portage,83.60892818,9.050971404,0.122789784,1.358873608,0.081859856,2.76686313
Portland,93.52701325,0.900441726,0,2.242609582,0.016989467,1.087325858
Princeton,89.87793643,6.759557807,0,0.115154307,0,0.126669737
Rensselaer,93.65907653,1.518026565,0,0.901328273,0,2.435167615
Richmond,83.53076901,8.838177777,0.675314443,1.744562312,0,1.302794114
Rochester,98.51116625,0.281224152,0,0.430107527,0,0.165425972
Rushville,93.95041322,4.628099174,0,0,0,0.297520661
Salem,96.98639015,0.421257291,0.453661698,0.081011017,0,0.032404407
Scottsburg,96.9561325,0.596836765,0.835571471,0.417785736,0,0
Seymour,82.22494012,2.043520359,0.198746369,4.326555573,0.07134485,8.800896907
Shelbyville,91.52551317,2.168750989,0.200517123,1.319191599,0,3.741227376
South Bend,61.71780825,26.61289532,0.425335908,1.459274577,0.102903849,5.496045552
Sullivan,97.52572268,0,0,1.739343459,0,0
Tell City,94.707828,1.957001103,0.275633958,1.199007718,0,0.620176406
Terre Haute,82.16340052,10.70657459,0.235689681,1.554233349,0.026370873,1.015278625
Tipton,94.50593681,0.241497283,0,0,0,1.066613001
Valparaiso,91.39559286,3.303852496,0.215859691,2.566331884,0.230849948,0.728526458
Vincennes,90.88650023,5.149098474,0.2716135,1.132686084,0.150254276,0.404530744
Wabash,96.68946377,0.485677471,0.267618198,0.386559619,0,0.763207454
Warsaw,85.49618321,2.309483762,1.675507828,4.716004658,0,2.497088886
Washington,89.22816629,4.705124073,0.104737351,0,0.12085079,4.197550757
Westfield,89.9823277,3.347639485,0.017672305,3.668265589,0,0.653875284
Williamsport,96.89349112,0.246548323,0,0.690335306,0,0
Winamac,88.99848255,0.758725341,0,2.84522003,0,2.807283763
Winchester,92.34015615,1.709221355,0,0,0,4.536822114
